[2021-07-30 14:45:39,724] A: 090001.jpg, B: 090001.jpg | MSE | 109.407118056 | PSNR | 27.74034782639365 | SSMI | 0.85736507129 | Delta_E | 5.30430842024
[2021-07-30 14:45:39,731] A: 090002.jpg, B: 090002.jpg | MSE | 123.728226273 | PSNR | 27.206115737990846 | SSMI | 0.839932693227 | Delta_E | 5.80609400995
[2021-07-30 14:45:39,738] A: 090003.jpg, B: 090003.jpg | MSE | 43.5869502315 | PSNR | 31.73723878268556 | SSMI | 0.917300518552 | Delta_E | 3.74117465488
[2021-07-30 14:45:39,746] A: 090004.jpg, B: 090004.jpg | MSE | 118.238534433 | PSNR | 27.40321322865721 | SSMI | 0.837129427285 | Delta_E | 5.83906822356
[2021-07-30 14:45:39,753] A: 090005.jpg, B: 090005.jpg | MSE | 48.5533492477 | PSNR | 31.268611676204117 | SSMI | 0.91616024212 | Delta_E | 4.0913435735
[2021-07-30 14:45:39,761] A: 090006.jpg, B: 090006.jpg | MSE | 107.711697049 | PSNR | 27.808174924090675 | SSMI | 0.838469664995 | Delta_E | 5.53509588566
[2021-07-30 14:45:39,768] A: 090007.jpg, B: 090007.jpg | MSE | 42.9204282407 | PSNR | 31.80416314357249 | SSMI | 0.924919681313 | Delta_E | 3.64586787659
[2021-07-30 14:45:39,775] A: 090008.jpg, B: 090008.jpg | MSE | 136.80432581 | PSNR | 26.76980530692946 | SSMI | 0.817712768394 | Delta_E | 5.95559428222
[2021-07-30 14:45:39,783] A: 090009.jpg, B: 090009.jpg | MSE | 30.2421875 | PSNR | 33.32467159196823 | SSMI | 0.93433561673 | Delta_E | 3.25692945717
[2021-07-30 14:45:39,790] A: 090010.jpg, B: 090010.jpg | MSE | 148.774052373 | PSNR | 26.405531681930473 | SSMI | 0.827992268959 | Delta_E | 5.41391904266
[2021-07-30 14:45:39,798] A: 090011.jpg, B: 090011.jpg | MSE | 135.111979167 | PSNR | 26.82386505144581 | SSMI | 0.797793760706 | Delta_E | 5.39000788816
[2021-07-30 14:45:39,805] A: 090012.jpg, B: 090012.jpg | MSE | 32.7770182292 | PSNR | 32.975109182081674 | SSMI | 0.941496484822 | Delta_E | 3.01316085423
[2021-07-30 14:45:39,813] A: 090013.jpg, B: 090013.jpg | MSE | 121.762984664 | PSNR | 27.275650758486762 | SSMI | 0.839582962272 | Delta_E | 5.96775451009
[2021-07-30 14:45:39,820] A: 090014.jpg, B: 090014.jpg | MSE | 45.3111255787 | PSNR | 31.56875510197258 | SSMI | 0.908100234883 | Delta_E | 3.67736885726
[2021-07-30 14:45:39,828] A: 090015.jpg, B: 090015.jpg | MSE | 108.221679688 | PSNR | 27.78766090619421 | SSMI | 0.84986379024 | Delta_E | 5.51215583749
[2021-07-30 14:45:39,835] A: 090016.jpg, B: 090016.jpg | MSE | 58.1280381944 | PSNR | 30.48694694985401 | SSMI | 0.891447414399 | Delta_E | 4.05174003184
[2021-07-30 14:45:39,842] A: 090017.jpg, B: 090017.jpg | MSE | 75.5364583333 | PSNR | 29.349237425997092 | SSMI | 0.880622984848 | Delta_E | 4.69878716607
[2021-07-30 14:45:39,851] A: 090018.jpg, B: 090018.jpg | MSE | 51.1603732639 | PSNR | 31.041466564558235 | SSMI | 0.89824089705 | Delta_E | 3.79601433198
[2021-07-30 14:45:39,858] A: 090019.jpg, B: 090019.jpg | MSE | 101.211624711 | PSNR | 28.078499643942646 | SSMI | 0.856282119991 | Delta_E | 5.2850427475
[2021-07-30 14:45:39,866] A: 090020.jpg, B: 090020.jpg | MSE | 70.5135633681 | PSNR | 29.648076987794298 | SSMI | 0.898248800893 | Delta_E | 3.97077592202
[2021-07-30 14:45:39,873] A: 090021.jpg, B: 090021.jpg | MSE | 95.6796875 | PSNR | 28.322606126730648 | SSMI | 0.87292658009 | Delta_E | 5.01552995846
[2021-07-30 14:45:39,881] A: 090022.jpg, B: 090022.jpg | MSE | 50.8904079861 | PSNR | 31.064444282613376 | SSMI | 0.896021689451 | Delta_E | 3.89917842496
[2021-07-30 14:45:39,888] A: 090023.jpg, B: 090023.jpg | MSE | 105.537724248 | PSNR | 27.896726357920937 | SSMI | 0.868450062169 | Delta_E | 5.24200279815
[2021-07-30 14:45:39,895] A: 090024.jpg, B: 090024.jpg | MSE | 122.28620515 | PSNR | 27.25702892915333 | SSMI | 0.888310382662 | Delta_E | 4.26915275303
[2021-07-30 14:45:39,902] A: 090025.jpg, B: 090025.jpg | MSE | 116.101996528 | PSNR | 27.482406727956455 | SSMI | 0.898646253033 | Delta_E | 4.39780405335
[2021-07-30 14:45:39,910] A: 090026.jpg, B: 090026.jpg | MSE | 105.759548611 | PSNR | 27.887607723205395 | SSMI | 0.855073630093 | Delta_E | 5.34162325558
[2021-07-30 14:45:39,917] A: 090027.jpg, B: 090027.jpg | MSE | 61.3366608796 | PSNR | 30.253602312335627 | SSMI | 0.916129457704 | Delta_E | 3.88941679531
[2021-07-30 14:45:39,926] A: 090028.jpg, B: 090028.jpg | MSE | 110.956778067 | PSNR | 27.679265235451318 | SSMI | 0.851352564532 | Delta_E | 5.08335382509
[2021-07-30 14:45:39,933] A: 090029.jpg, B: 090029.jpg | MSE | 56.1812789352 | PSNR | 30.634887394204444 | SSMI | 0.910527360792 | Delta_E | 3.73609779636
[2021-07-30 14:45:39,940] A: 090030.jpg, B: 090030.jpg | MSE | 126.353804977 | PSNR | 27.114920362141206 | SSMI | 0.832608220868 | Delta_E | 5.81460732778
[2021-07-30 14:45:39,947] A: 090031.jpg, B: 090031.jpg | MSE | 117.920066551 | PSNR | 27.414926452486963 | SSMI | 0.918407747525 | Delta_E | 3.83549970813
[2021-07-30 14:45:39,954] A: 090032.jpg, B: 090032.jpg | MSE | 141.363028067 | PSNR | 26.627445214634275 | SSMI | 0.83138768372 | Delta_E | 5.84191830075
[2021-07-30 14:45:39,961] A: 090033.jpg, B: 090033.jpg | MSE | 32.7408854167 | PSNR | 32.97989940942476 | SSMI | 0.934116318657 | Delta_E | 3.04521451031
[2021-07-30 14:45:39,968] A: 090034.jpg, B: 090034.jpg | MSE | 102.82208478 | PSNR | 28.009939556637647 | SSMI | 0.837795887609 | Delta_E | 4.69236442048
[2021-07-30 14:45:39,975] A: 090035.jpg, B: 090035.jpg | MSE | 127.153103299 | PSNR | 27.087533968358066 | SSMI | 0.823031923208 | Delta_E | 5.36350817214
[2021-07-30 14:45:39,982] A: 090036.jpg, B: 090036.jpg | MSE | 62.4391999421 | PSNR | 30.176230312267997 | SSMI | 0.935437307743 | Delta_E | 3.77562100531
[2021-07-30 14:45:39,990] A: 090037.jpg, B: 090037.jpg | MSE | 138.138780382 | PSNR | 26.72764743537798 | SSMI | 0.831569824385 | Delta_E | 5.54175459593
[2021-07-30 14:45:39,997] A: 090038.jpg, B: 090038.jpg | MSE | 76.0213396991 | PSNR | 29.32144842104527 | SSMI | 0.919140146484 | Delta_E | 3.68715845239
[2021-07-30 14:45:40,005] A: 090039.jpg, B: 090039.jpg | MSE | 89.5476345486 | PSNR | 28.610262426655922 | SSMI | 0.874469406046 | Delta_E | 5.02780864808
[2021-07-30 14:45:40,012] A: 090040.jpg, B: 090040.jpg | MSE | 70.8213252315 | PSNR | 29.62916311711354 | SSMI | 0.866916842608 | Delta_E | 4.45354302244
[2021-07-30 14:45:40,020] A: 090041.jpg, B: 090041.jpg | MSE | 24.8324291088 | PSNR | 34.18061156539003 | SSMI | 0.924797925096 | Delta_E | 3.40346352827
[2021-07-30 14:45:40,027] A: 090042.jpg, B: 090042.jpg | MSE | 20.5208333333 | PSNR | 35.00885367745886 | SSMI | 0.936667089462 | Delta_E | 3.28298824408
[2021-07-30 14:45:40,034] A: 090043.jpg, B: 090043.jpg | MSE | 120.783962674 | PSNR | 27.310710870523778 | SSMI | 0.845524186065 | Delta_E | 5.50471241563
[2021-07-30 14:45:40,042] A: 090044.jpg, B: 090044.jpg | MSE | 45.2794053819 | PSNR | 31.57179645890787 | SSMI | 0.909543063788 | Delta_E | 3.65673928417
[2021-07-30 14:45:40,049] A: 090045.jpg, B: 090045.jpg | MSE | 115.659143519 | PSNR | 27.49900388934906 | SSMI | 0.845946853752 | Delta_E | 5.76270251514
[2021-07-30 14:45:40,056] A: 090046.jpg, B: 090046.jpg | MSE | 54.1906105324 | PSNR | 30.79156316898112 | SSMI | 0.890833190506 | Delta_E | 4.04440298392
[2021-07-30 14:45:40,064] A: 090047.jpg, B: 090047.jpg | MSE | 77.5977647569 | PSNR | 29.23231149502842 | SSMI | 0.871922495914 | Delta_E | 4.63327458613
[2021-07-30 14:45:40,071] A: 090048.jpg, B: 090048.jpg | MSE | 69.9063585069 | PSNR | 29.685636809893623 | SSMI | 0.88506929092 | Delta_E | 4.60245848223
