[2021-07-30 09:30:34,674] A: 090001.jpg, B: 090001.jpg | MSE | 102.162037037 | PSNR | 28.037908170087466 | SSMI | 0.848036736729 | Delta_E | 5.72039392244
[2021-07-30 09:30:34,681] A: 090002.jpg, B: 090002.jpg | MSE | 188.857711227 | PSNR | 25.36945638715755 | SSMI | 0.816150215119 | Delta_E | 5.52585434716
[2021-07-30 09:30:34,689] A: 090003.jpg, B: 090003.jpg | MSE | 46.3390118634 | PSNR | 31.471335922434097 | SSMI | 0.910464701387 | Delta_E | 3.60125551018
[2021-07-30 09:30:34,696] A: 090004.jpg, B: 090004.jpg | MSE | 179.98723235 | PSNR | 25.57838661969086 | SSMI | 0.810102079376 | Delta_E | 6.53911180451
[2021-07-30 09:30:34,704] A: 090005.jpg, B: 090005.jpg | MSE | 46.9577907986 | PSNR | 31.41372704198657 | SSMI | 0.909323072325 | Delta_E | 3.77807367036
[2021-07-30 09:30:34,711] A: 090006.jpg, B: 090006.jpg | MSE | 135.499855324 | PSNR | 26.81141529362208 | SSMI | 0.827816818666 | Delta_E | 5.9971201344
[2021-07-30 09:30:34,720] A: 090007.jpg, B: 090007.jpg | MSE | 41.6442780671 | PSNR | 31.93525023182334 | SSMI | 0.924150824826 | Delta_E | 3.60513117199
[2021-07-30 09:30:34,728] A: 090008.jpg, B: 090008.jpg | MSE | 322.839735243 | PSNR | 23.04093378390474 | SSMI | 0.806475629678 | Delta_E | 7.36310993796
[2021-07-30 09:30:34,735] A: 090009.jpg, B: 090009.jpg | MSE | 40.9862196181 | PSNR | 32.00442498046203 | SSMI | 0.929579344447 | Delta_E | 3.08929463758
[2021-07-30 09:30:34,743] A: 090010.jpg, B: 090010.jpg | MSE | 246.38317419 | PSNR | 24.21469314867509 | SSMI | 0.81255205237 | Delta_E | 5.68546489418
[2021-07-30 09:30:34,750] A: 090011.jpg, B: 090011.jpg | MSE | 140.933195891 | PSNR | 26.640670604885198 | SSMI | 0.77030828482 | Delta_E | 5.27925407804
[2021-07-30 09:30:34,758] A: 090012.jpg, B: 090012.jpg | MSE | 96.775354456 | PSNR | 28.27315590197393 | SSMI | 0.93452393628 | Delta_E | 4.04295035718
[2021-07-30 09:30:34,765] A: 090013.jpg, B: 090013.jpg | MSE | 192.799804688 | PSNR | 25.279737712553718 | SSMI | 0.821964815482 | Delta_E | 5.55370194578
[2021-07-30 09:30:34,772] A: 090014.jpg, B: 090014.jpg | MSE | 46.6901041667 | PSNR | 31.438555180153212 | SSMI | 0.90753262706 | Delta_E | 3.47074220811
[2021-07-30 09:30:34,780] A: 090015.jpg, B: 090015.jpg | MSE | 127.603407118 | PSNR | 27.07218090300823 | SSMI | 0.840317973644 | Delta_E | 4.71237956193
[2021-07-30 09:30:34,788] A: 090016.jpg, B: 090016.jpg | MSE | 73.4508101852 | PSNR | 29.47083770312572 | SSMI | 0.874122369622 | Delta_E | 4.3272453485
[2021-07-30 09:30:34,795] A: 090017.jpg, B: 090017.jpg | MSE | 70.4890046296 | PSNR | 29.649589828991477 | SSMI | 0.879369488469 | Delta_E | 4.67604679401
[2021-07-30 09:30:34,804] A: 090018.jpg, B: 090018.jpg | MSE | 64.2135778356 | PSNR | 30.054534923687918 | SSMI | 0.889920287252 | Delta_E | 4.05716161028
[2021-07-30 09:30:34,811] A: 090019.jpg, B: 090019.jpg | MSE | 165.643554688 | PSNR | 25.93905819038769 | SSMI | 0.842439269535 | Delta_E | 5.02489297156
[2021-07-30 09:30:34,819] A: 090020.jpg, B: 090020.jpg | MSE | 103.803096065 | PSNR | 27.968700537541977 | SSMI | 0.881506914683 | Delta_E | 4.65940689318
[2021-07-30 09:30:34,826] A: 090021.jpg, B: 090021.jpg | MSE | 97.3694299769 | PSNR | 28.24657733314441 | SSMI | 0.87044735157 | Delta_E | 4.58773546618
[2021-07-30 09:30:34,834] A: 090022.jpg, B: 090022.jpg | MSE | 54.9911747685 | PSNR | 30.727873633166833 | SSMI | 0.892201895111 | Delta_E | 3.93599749044
[2021-07-30 09:30:34,841] A: 090023.jpg, B: 090023.jpg | MSE | 110.751157407 | PSNR | 27.687320873450485 | SSMI | 0.865596485298 | Delta_E | 4.57964624482
[2021-07-30 09:30:34,849] A: 090024.jpg, B: 090024.jpg | MSE | 99.4342447917 | PSNR | 28.155443812716676 | SSMI | 0.883536965158 | Delta_E | 4.5071141647
[2021-07-30 09:30:34,856] A: 090025.jpg, B: 090025.jpg | MSE | 91.1353443287 | PSNR | 28.533935220943583 | SSMI | 0.899033785736 | Delta_E | 5.71130515016
[2021-07-30 09:30:34,864] A: 090026.jpg, B: 090026.jpg | MSE | 155.449074074 | PSNR | 26.214922213379626 | SSMI | 0.843904391621 | Delta_E | 5.32583708484
[2021-07-30 09:30:34,871] A: 090027.jpg, B: 090027.jpg | MSE | 52.7294198495 | PSNR | 30.910273677941895 | SSMI | 0.909165808326 | Delta_E | 3.76005615972
[2021-07-30 09:30:34,879] A: 090028.jpg, B: 090028.jpg | MSE | 149.839590567 | PSNR | 26.374537831977346 | SSMI | 0.837005816373 | Delta_E | 5.10114497043
[2021-07-30 09:30:34,886] A: 090029.jpg, B: 090029.jpg | MSE | 54.9475911458 | PSNR | 30.73131702779978 | SSMI | 0.907802271935 | Delta_E | 3.90802966024
[2021-07-30 09:30:34,894] A: 090030.jpg, B: 090030.jpg | MSE | 174.969545718 | PSNR | 25.701178966260056 | SSMI | 0.805922923867 | Delta_E | 5.5256757482
[2021-07-30 09:30:34,901] A: 090031.jpg, B: 090031.jpg | MSE | 61.46484375 | PSNR | 30.244535789305207 | SSMI | 0.914165369176 | Delta_E | 3.72683822254
[2021-07-30 09:30:34,909] A: 090032.jpg, B: 090032.jpg | MSE | 162.587311921 | PSNR | 26.019937100008306 | SSMI | 0.819839969475 | Delta_E | 5.93994818387
[2021-07-30 09:30:34,917] A: 090033.jpg, B: 090033.jpg | MSE | 36.4036096644 | PSNR | 32.51935911845639 | SSMI | 0.933648440981 | Delta_E | 3.04423084224
[2021-07-30 09:30:34,924] A: 090034.jpg, B: 090034.jpg | MSE | 177.69885706 | PSNR | 25.63395726388726 | SSMI | 0.816386798871 | Delta_E | 5.33109470012
[2021-07-30 09:30:34,932] A: 090035.jpg, B: 090035.jpg | MSE | 116.316948785 | PSNR | 27.474373595755953 | SSMI | 0.804375570677 | Delta_E | 4.75001203894
[2021-07-30 09:30:34,939] A: 090036.jpg, B: 090036.jpg | MSE | 45.7040292245 | PSNR | 31.531258721143168 | SSMI | 0.930047353504 | Delta_E | 3.95513047774
[2021-07-30 09:30:34,946] A: 090037.jpg, B: 090037.jpg | MSE | 207.729781539 | PSNR | 24.955815964897244 | SSMI | 0.809214137126 | Delta_E | 5.62885893476
[2021-07-30 09:30:34,954] A: 090038.jpg, B: 090038.jpg | MSE | 67.6117983218 | PSNR | 29.83057873521791 | SSMI | 0.92044179441 | Delta_E | 3.41714529665
[2021-07-30 09:30:34,961] A: 090039.jpg, B: 090039.jpg | MSE | 100.839879919 | PSNR | 28.094480410248938 | SSMI | 0.86522446838 | Delta_E | 4.45876298899
[2021-07-30 09:30:34,968] A: 090040.jpg, B: 090040.jpg | MSE | 103.50426794 | PSNR | 27.98122102818981 | SSMI | 0.866594442806 | Delta_E | 4.86721760229
[2021-07-30 09:30:34,977] A: 090041.jpg, B: 090041.jpg | MSE | 22.7762948495 | PSNR | 34.55597284552243 | SSMI | 0.929061504473 | Delta_E | 3.26955459102
[2021-07-30 09:30:34,984] A: 090042.jpg, B: 090042.jpg | MSE | 23.4415509259 | PSNR | 34.4309401903853 | SSMI | 0.929641148875 | Delta_E | 4.02607079605
[2021-07-30 09:30:34,992] A: 090043.jpg, B: 090043.jpg | MSE | 129.668836806 | PSNR | 27.002447458444536 | SSMI | 0.851584527504 | Delta_E | 4.63214773463
[2021-07-30 09:30:35,000] A: 090044.jpg, B: 090044.jpg | MSE | 55.0805483218 | PSNR | 30.720821059001437 | SSMI | 0.897071657158 | Delta_E | 3.72588097556
[2021-07-30 09:30:35,007] A: 090045.jpg, B: 090045.jpg | MSE | 119.628255208 | PSNR | 27.35246592320987 | SSMI | 0.847213904486 | Delta_E | 4.92446738309
[2021-07-30 09:30:35,015] A: 090046.jpg, B: 090046.jpg | MSE | 70.5626085069 | PSNR | 29.645057337663644 | SSMI | 0.884500115251 | Delta_E | 4.18219137561
[2021-07-30 09:30:35,022] A: 090047.jpg, B: 090047.jpg | MSE | 141.41015625 | PSNR | 26.625997587271613 | SSMI | 0.858219513671 | Delta_E | 4.45823287953
[2021-07-30 09:30:35,029] A: 090048.jpg, B: 090048.jpg | MSE | 67.1216001157 | PSNR | 29.862180597523707 | SSMI | 0.879572557006 | Delta_E | 4.85239766542
[2021-07-30 09:30:35,037] A: 090049.jpg, B: 090049.jpg | MSE | 100.107349537 | PSNR | 28.12614397812078 | SSMI | 0.890426860449 | Delta_E | 6.50675709647
[2021-07-30 09:30:35,044] A: 090050.jpg, B: 090050.jpg | MSE | 88.847692419 | PSNR | 28.644342082169345 | SSMI | 0.885952062045 | Delta_E | 4.830754744
