[2021-07-30 09:37:29,631] A: 090001.jpg, B: 090001.jpg | MSE | 1.9691478588 | PSNR | 45.18802033328867 | SSMI | 0.992193989826 | Delta_E | 0.46926110521
[2021-07-30 09:37:29,638] A: 090002.jpg, B: 090002.jpg | MSE | 1.83344184028 | PSNR | 45.49813222871832 | SSMI | 0.993520156794 | Delta_E | 0.478403358335
[2021-07-30 09:37:29,646] A: 090003.jpg, B: 090003.jpg | MSE | 0.582465277778 | PSNR | 50.47810319786112 | SSMI | 0.995720626857 | Delta_E | 0.296320412994
[2021-07-30 09:37:29,653] A: 090004.jpg, B: 090004.jpg | MSE | 2.11252170139 | PSNR | 44.88279181828412 | SSMI | 0.991843514687 | Delta_E | 0.49362350176
[2021-07-30 09:37:29,660] A: 090005.jpg, B: 090005.jpg | MSE | 0.887622974537 | PSNR | 48.64851826224647 | SSMI | 0.995577733642 | Delta_E | 0.314367884043
[2021-07-30 09:37:29,679] A: 090006.jpg, B: 090006.jpg | MSE | 2.41579861111 | PSNR | 44.300196336210604 | SSMI | 0.990827288082 | Delta_E | 0.511594278185
[2021-07-30 09:37:29,687] A: 090007.jpg, B: 090007.jpg | MSE | 1.03754340278 | PSNR | 47.970740875872764 | SSMI | 0.994273118939 | Delta_E | 0.336456785245
[2021-07-30 09:37:29,695] A: 090008.jpg, B: 090008.jpg | MSE | 1.92777054398 | PSNR | 45.28025020830682 | SSMI | 0.992759899439 | Delta_E | 0.445769187466
[2021-07-30 09:37:29,703] A: 090009.jpg, B: 090009.jpg | MSE | 0.714156539352 | PSNR | 49.592869435941466 | SSMI | 0.995550385065 | Delta_E | 0.269801278295
[2021-07-30 09:37:29,712] A: 090010.jpg, B: 090010.jpg | MSE | 2.1138599537 | PSNR | 44.88004149584487 | SSMI | 0.993353053713 | Delta_E | 0.418813690595
[2021-07-30 09:37:29,719] A: 090011.jpg, B: 090011.jpg | MSE | 2.30667679398 | PSNR | 44.500936143848826 | SSMI | 0.992343482411 | Delta_E | 0.43803113828
