[2021-07-26 10:28:36,430] A: 00001.jpg, B: 00001.jpg | MSE | 93.68210625 | PSNR | 28.414237144732294 | SSMI | 0.898714783447 | Delta_E | 1.21967181812
[2021-07-26 10:28:36,583] A: 00002.jpg, B: 00002.jpg | MSE | 60.92908125 | PSNR | 30.28255731423296 | SSMI | 0.935514773781 | Delta_E | 0.972619504413
[2021-07-26 10:28:36,756] A: 00003.jpg, B: 00003.jpg | MSE | 73.23818125 | PSNR | 29.48342810094839 | SSMI | 0.936492662426 | Delta_E | 1.07808444339
[2021-07-26 10:28:36,925] A: 00004.jpg, B: 00004.jpg | MSE | 63.724875 | PSNR | 30.08771368619324 | SSMI | 0.931414655455 | Delta_E | 0.951221392404
[2021-07-26 10:28:37,073] A: 00005.jpg, B: 00005.jpg | MSE | 55.6298125 | PSNR | 30.67772764711957 | SSMI | 0.937112310409 | Delta_E | 0.884423650643
[2021-07-26 10:28:37,231] A: 00006.jpg, B: 00006.jpg | MSE | 79.373325 | PSNR | 29.13405787304038 | SSMI | 0.93045470849 | Delta_E | 1.11994710825
[2021-07-26 10:28:37,381] A: 00007.jpg, B: 00007.jpg | MSE | 56.69059375 | PSNR | 30.59569355261695 | SSMI | 0.949867606507 | Delta_E | 1.0557339569
[2021-07-26 10:28:37,526] A: 00008.jpg, B: 00008.jpg | MSE | 55.90715625 | PSNR | 30.65612958688696 | SSMI | 0.948403298183 | Delta_E | 1.00877803723
[2021-07-26 10:28:37,693] A: 00009.jpg, B: 00009.jpg | MSE | 60.9420125 | PSNR | 30.281635689528137 | SSMI | 0.950141004131 | Delta_E | 1.02929162972
[2021-07-26 10:28:37,881] A: 00010.jpg, B: 00010.jpg | MSE | 50.72748125 | PSNR | 31.07837061853932 | SSMI | 0.953278050588 | Delta_E | 0.935725632324
[2021-07-26 10:28:38,070] A: 00011.jpg, B: 00011.jpg | MSE | 48.40801875 | PSNR | 31.28163052727129 | SSMI | 0.954122743477 | Delta_E | 0.918309037427
[2021-07-26 10:28:38,244] A: 00012.jpg, B: 00012.jpg | MSE | 60.0387 | PSNR | 30.346490808432932 | SSMI | 0.951765392086 | Delta_E | 1.02613863687
[2021-07-26 10:28:38,398] A: 00013.jpg, B: 00013.jpg | MSE | 62.90215625 | PSNR | 30.144148278006067 | SSMI | 0.946285452804 | Delta_E | 1.0879819288
[2021-07-26 10:28:38,544] A: 00014.jpg, B: 00014.jpg | MSE | 48.16993125 | PSNR | 31.303043343950154 | SSMI | 0.955622403662 | Delta_E | 0.917586301579
[2021-07-26 10:28:38,704] A: 00015.jpg, B: 00015.jpg | MSE | 44.9192 | PSNR | 31.6064834788845 | SSMI | 0.958111642512 | Delta_E | 0.878663850868
[2021-07-26 10:28:38,892] A: 00016.jpg, B: 00016.jpg | MSE | 53.96825 | PSNR | 30.809420252126557 | SSMI | 0.95485389727 | Delta_E | 0.983210181687
[2021-07-26 10:28:39,063] A: 00017.jpg, B: 00017.jpg | MSE | 92.20486875 | PSNR | 28.483265068920257 | SSMI | 0.896491170218 | Delta_E | 1.17235992708
[2021-07-26 10:28:39,212] A: 00018.jpg, B: 00018.jpg | MSE | 45.857275 | PSNR | 31.516721170074604 | SSMI | 0.953903607778 | Delta_E | 0.828253943455
[2021-07-26 10:28:39,360] A: 00019.jpg, B: 00019.jpg | MSE | 44.7409625 | PSNR | 31.623750381492634 | SSMI | 0.957043925617 | Delta_E | 0.758292281762
[2021-07-26 10:28:39,509] A: 00020.jpg, B: 00020.jpg | MSE | 54.27401875 | PSNR | 30.784883805205894 | SSMI | 0.952268215716 | Delta_E | 0.944894206836
