[2021-07-26 10:57:04,250] A: 00001.jpg, B: 00001.jpg | MSE | 50.2822125 | PSNR | 31.116659817624857 | SSMI | 0.917575764153 | Delta_E | 2.44881438334
[2021-07-26 10:57:04,401] A: 00002.jpg, B: 00002.jpg | MSE | 39.1414375 | PSNR | 32.20443589447469 | SSMI | 0.936112101837 | Delta_E | 3.71055405484
[2021-07-26 10:57:04,550] A: 00003.jpg, B: 00003.jpg | MSE | 42.89888125 | PSNR | 31.80634394400831 | SSMI | 0.93579580943 | Delta_E | 3.29248762116
[2021-07-26 10:57:04,703] A: 00004.jpg, B: 00004.jpg | MSE | 33.8412479167 | PSNR | 32.83633991331614 | SSMI | 0.934830562252 | Delta_E | 2.19178609812
[2021-07-26 10:57:04,858] A: 00005.jpg, B: 00005.jpg | MSE | 26.1215270833 | PSNR | 33.96081798353733 | SSMI | 0.940418051613 | Delta_E | 2.1222348473
[2021-07-26 10:57:05,052] A: 00006.jpg, B: 00006.jpg | MSE | 40.6767604167 | PSNR | 32.03734003372106 | SSMI | 0.93284945994 | Delta_E | 3.0940424967
[2021-07-26 10:57:05,237] A: 00007.jpg, B: 00007.jpg | MSE | 40.1611166667 | PSNR | 32.09274581147549 | SSMI | 0.940807172008 | Delta_E | 5.22426239302
[2021-07-26 10:57:05,401] A: 00008.jpg, B: 00008.jpg | MSE | 25.6140083333 | PSNR | 34.04602814385712 | SSMI | 0.942308989564 | Delta_E | 3.3977609193
[2021-07-26 10:57:05,550] A: 00009.jpg, B: 00009.jpg | MSE | 34.7771 | PSNR | 32.717869967293325 | SSMI | 0.943351930363 | Delta_E | 3.42298405821
[2021-07-26 10:57:05,696] A: 00010.jpg, B: 00010.jpg | MSE | 25.9658333333 | PSNR | 33.986780957022624 | SSMI | 0.946621816167 | Delta_E | 2.76746162875
[2021-07-26 10:57:05,848] A: 00011.jpg, B: 00011.jpg | MSE | 22.1316104167 | PSNR | 34.68067344155954 | SSMI | 0.946707693706 | Delta_E | 2.76630401724
[2021-07-26 10:57:06,030] A: 00012.jpg, B: 00012.jpg | MSE | 38.1483520833 | PSNR | 32.31604578644445 | SSMI | 0.944141899053 | Delta_E | 3.29758004397
[2021-07-26 10:57:06,202] A: 00013.jpg, B: 00013.jpg | MSE | 42.5918729167 | PSNR | 31.837536228958484 | SSMI | 0.935865805388 | Delta_E | 3.81492389904
[2021-07-26 10:57:06,346] A: 00014.jpg, B: 00014.jpg | MSE | 28.8065479167 | PSNR | 33.53589143912386 | SSMI | 0.94666841612 | Delta_E | 3.02618655623
[2021-07-26 10:57:06,493] A: 00015.jpg, B: 00015.jpg | MSE | 20.3406770833 | PSNR | 35.047149556115045 | SSMI | 0.949109976987 | Delta_E | 2.59329307721
[2021-07-26 10:57:06,636] A: 00016.jpg, B: 00016.jpg | MSE | 31.0261354167 | PSNR | 33.2135267718642 | SSMI | 0.944017802816 | Delta_E | 3.09384655602
[2021-07-26 10:57:06,780] A: 00017.jpg, B: 00017.jpg | MSE | 34.4395958333 | PSNR | 32.760223147292386 | SSMI | 0.91491544717 | Delta_E | 2.11737195283
[2021-07-26 10:57:06,953] A: 00018.jpg, B: 00018.jpg | MSE | 28.5217729167 | PSNR | 33.57903843054349 | SSMI | 0.943857948253 | Delta_E | 2.09155903084
[2021-07-26 10:57:07,136] A: 00019.jpg, B: 00019.jpg | MSE | 23.6620166667 | PSNR | 34.39028604942795 | SSMI | 0.949379156682 | Delta_E | 2.24513307747
[2021-07-26 10:57:07,317] A: 00020.jpg, B: 00020.jpg | MSE | 27.9148375 | PSNR | 33.67245256822559 | SSMI | 0.943465149789 | Delta_E | 2.54365421214
[2021-07-26 10:57:07,465] A: 00021.jpg, B: 00021.jpg | MSE | 33.7757 | PSNR | 32.844760023452096 | SSMI | 0.917705119353 | Delta_E | 2.1814588721
[2021-07-26 10:57:07,610] A: 00022.jpg, B: 00022.jpg | MSE | 15.6073 | PSNR | 36.19752582502636 | SSMI | 0.940517266821 | Delta_E | 1.2847792613
[2021-07-26 10:57:07,756] A: 00023.jpg, B: 00023.jpg | MSE | 24.3749125 | PSNR | 34.26137295505966 | SSMI | 0.950382392215 | Delta_E | 3.35279421781
[2021-07-26 10:57:07,920] A: 00024.jpg, B: 00024.jpg | MSE | 33.9920520833 | PSNR | 32.817029773508516 | SSMI | 0.952139460409 | Delta_E | 1.56546082725
[2021-07-26 10:57:08,105] A: 00025.jpg, B: 00025.jpg | MSE | 37.63493125 | PSNR | 32.374892338488316 | SSMI | 0.950325878557 | Delta_E | 1.71509685112
[2021-07-26 10:57:08,272] A: 00026.jpg, B: 00026.jpg | MSE | 39.6063166667 | PSNR | 32.15315905379095 | SSMI | 0.950095976435 | Delta_E | 1.79587421685
[2021-07-26 10:57:08,418] A: 00027.jpg, B: 00027.jpg | MSE | 41.0648708333 | PSNR | 31.996098997452155 | SSMI | 0.948890810533 | Delta_E | 1.8877330377
[2021-07-26 10:57:08,564] A: 00028.jpg, B: 00028.jpg | MSE | 7.43935208333 | PSNR | 39.41545247752964 | SSMI | 0.96621531458 | Delta_E | 0.808138626956
[2021-07-26 10:57:08,709] A: 00029.jpg, B: 00029.jpg | MSE | 20.9055645833 | PSNR | 34.9281846010727 | SSMI | 0.960333011108 | Delta_E | 1.29999843948
[2021-07-26 10:57:08,865] A: 00030.jpg, B: 00030.jpg | MSE | 29.315575 | PSNR | 33.459819439477066 | SSMI | 0.953671058426 | Delta_E | 1.47589390594
[2021-07-26 10:57:09,056] A: 00031.jpg, B: 00031.jpg | MSE | 41.2895083333 | PSNR | 31.97240649448563 | SSMI | 0.942425455693 | Delta_E | 2.29625007147
[2021-07-26 10:57:09,239] A: 00032.jpg, B: 00032.jpg | MSE | 34.3736333333 | PSNR | 32.768549208686025 | SSMI | 0.950729807686 | Delta_E | 1.72958531958
[2021-07-26 10:57:09,390] A: 00033.jpg, B: 00033.jpg | MSE | 44.2553833333 | PSNR | 31.671142539751273 | SSMI | 0.944083176111 | Delta_E | 2.02513308968
[2021-07-26 10:57:09,532] A: 00034.jpg, B: 00034.jpg | MSE | 35.2200458333 | PSNR | 32.662904440705304 | SSMI | 0.946461732438 | Delta_E | 1.93307644577
[2021-07-26 10:57:09,680] A: 00035.jpg, B: 00035.jpg | MSE | 37.6594979167 | PSNR | 32.37205835242354 | SSMI | 0.941450455627 | Delta_E | 2.37850509359
