[2021-07-26 11:20:14,715] A: 00001.jpg, B: 00001.jpg | MSE | 116.774625 | PSNR | 27.45731879561845 | SSMI | 0.828708744794 | Delta_E | 3.8956361986
[2021-07-26 11:20:14,869] A: 00002.jpg, B: 00002.jpg | MSE | 67.8584916667 | PSNR | 29.81476158787867 | SSMI | 0.882408877932 | Delta_E | 4.20490085842
[2021-07-26 11:20:15,017] A: 00003.jpg, B: 00003.jpg | MSE | 56.9294791667 | PSNR | 30.577431502880046 | SSMI | 0.88904855146 | Delta_E | 2.72253695745
[2021-07-26 11:20:15,167] A: 00004.jpg, B: 00004.jpg | MSE | 52.8908729167 | PSNR | 30.89699626146844 | SSMI | 0.876987220623 | Delta_E | 2.39919899368
[2021-07-26 11:20:15,316] A: 00005.jpg, B: 00005.jpg | MSE | 46.8247729167 | PSNR | 31.426046809878052 | SSMI | 0.888404236796 | Delta_E | 2.22646115438
[2021-07-26 11:20:15,490] A: 00006.jpg, B: 00006.jpg | MSE | 59.883725 | PSNR | 30.35771553555129 | SSMI | 0.879850342737 | Delta_E | 2.8309124527
[2021-07-26 11:20:15,670] A: 00007.jpg, B: 00007.jpg | MSE | 45.6896354167 | PSNR | 31.532626682786443 | SSMI | 0.908142784279 | Delta_E | 2.95640587294
[2021-07-26 11:20:15,849] A: 00008.jpg, B: 00008.jpg | MSE | 44.8548770833 | PSNR | 31.612706899599292 | SSMI | 0.903581672906 | Delta_E | 2.93017208845
[2021-07-26 11:20:16,007] A: 00009.jpg, B: 00009.jpg | MSE | 46.0074645833 | PSNR | 31.502520603961536 | SSMI | 0.908497956178 | Delta_E | 2.7469445675
[2021-07-26 11:20:16,153] A: 00010.jpg, B: 00010.jpg | MSE | 37.7359854167 | PSNR | 32.36324665466348 | SSMI | 0.914257489641 | Delta_E | 2.52634978324
[2021-07-26 11:20:16,300] A: 00011.jpg, B: 00011.jpg | MSE | 39.46078125 | PSNR | 32.169146816444574 | SSMI | 0.912310526889 | Delta_E | 2.76850029369
[2021-07-26 11:20:16,469] A: 00012.jpg, B: 00012.jpg | MSE | 49.7722 | PSNR | 31.160935232835453 | SSMI | 0.912020588119 | Delta_E | 2.76237807406
[2021-07-26 11:20:16,656] A: 00013.jpg, B: 00013.jpg | MSE | 63.217575 | PSNR | 30.122425284013286 | SSMI | 0.89985942566 | Delta_E | 3.76074214756
[2021-07-26 11:20:16,803] A: 00014.jpg, B: 00014.jpg | MSE | 37.8431625 | PSNR | 32.35092938240996 | SSMI | 0.916210882886 | Delta_E | 2.38641762907
[2021-07-26 11:20:16,946] A: 00015.jpg, B: 00015.jpg | MSE | 40.4002916667 | PSNR | 32.06695860391794 | SSMI | 0.918022778994 | Delta_E | 3.19195099812
[2021-07-26 11:20:17,090] A: 00016.jpg, B: 00016.jpg | MSE | 46.5803791667 | PSNR | 31.44877341475585 | SSMI | 0.912284229182 | Delta_E | 2.89945070992
[2021-07-26 11:20:17,233] A: 00017.jpg, B: 00017.jpg | MSE | 83.8719458333 | PSNR | 28.894636420798957 | SSMI | 0.819168016528 | Delta_E | 2.84629558076
[2021-07-26 11:20:17,385] A: 00018.jpg, B: 00018.jpg | MSE | 42.1497375 | PSNR | 31.882854865965086 | SSMI | 0.911670680922 | Delta_E | 2.48429193522
[2021-07-26 11:20:17,567] A: 00019.jpg, B: 00019.jpg | MSE | 35.5554166667 | PSNR | 32.621745884534626 | SSMI | 0.916805146387 | Delta_E | 1.99533851849
[2021-07-26 11:20:17,745] A: 00020.jpg, B: 00020.jpg | MSE | 47.5329666667 | PSNR | 31.36085440182334 | SSMI | 0.907184780209 | Delta_E | 2.85891907963
[2021-07-26 11:20:17,911] A: 00021.jpg, B: 00021.jpg | MSE | 77.96818125 | PSNR | 29.2116295723979 | SSMI | 0.835936527617 | Delta_E | 2.88189808022
[2021-07-26 11:20:18,052] A: 00022.jpg, B: 00022.jpg | MSE | 28.8342020833 | PSNR | 33.531724230020416 | SSMI | 0.893119122307 | Delta_E | 1.75550399945
[2021-07-26 11:20:18,196] A: 00023.jpg, B: 00023.jpg | MSE | 30.2404645833 | PSNR | 33.32491901934635 | SSMI | 0.92320231724 | Delta_E | 2.41314585478
[2021-07-26 11:20:18,343] A: 00024.jpg, B: 00024.jpg | MSE | 53.5499 | PSNR | 30.84321696708229 | SSMI | 0.932419406751 | Delta_E | 2.04606290223
[2021-07-26 11:20:18,528] A: 00025.jpg, B: 00025.jpg | MSE | 45.6297729167 | PSNR | 31.538320534207813 | SSMI | 0.938283273248 | Delta_E | 1.98492249346
