[2021-07-26 11:23:37,013] A: 00001.jpg, B: 00001.jpg | MSE | 51.4741854167 | PSNR | 31.014908782703312 | SSMI | 0.90591954566 | Delta_E | 2.44973266792
[2021-07-26 11:23:37,238] A: 00002.jpg, B: 00002.jpg | MSE | 42.59521875 | PSNR | 31.83719507939548 | SSMI | 0.929285018579 | Delta_E | 3.7937831947
[2021-07-26 11:23:37,484] A: 00003.jpg, B: 00003.jpg | MSE | 46.34258125 | PSNR | 31.471001408353878 | SSMI | 0.928276717983 | Delta_E | 3.36592342352
[2021-07-26 11:23:37,799] A: 00004.jpg, B: 00004.jpg | MSE | 38.4588583333 | PSNR | 32.28083972980341 | SSMI | 0.926191025204 | Delta_E | 2.3182144801
[2021-07-26 11:23:38,122] A: 00005.jpg, B: 00005.jpg | MSE | 29.41503125 | PSNR | 33.44511046757556 | SSMI | 0.929645321851 | Delta_E | 2.17671497015
[2021-07-26 11:23:38,419] A: 00006.jpg, B: 00006.jpg | MSE | 45.7752291667 | PSNR | 31.52449833659995 | SSMI | 0.923767970574 | Delta_E | 3.21229020282
[2021-07-26 11:23:38,709] A: 00007.jpg, B: 00007.jpg | MSE | 41.9522395833 | PSNR | 31.90325210656201 | SSMI | 0.932591128791 | Delta_E | 5.14992982655
[2021-07-26 11:23:38,997] A: 00008.jpg, B: 00008.jpg | MSE | 26.1650604167 | PSNR | 33.953586189795125 | SSMI | 0.937331440262 | Delta_E | 3.35961276234
[2021-07-26 11:23:39,258] A: 00009.jpg, B: 00009.jpg | MSE | 35.6529375 | PSNR | 32.60985043019884 | SSMI | 0.938683652572 | Delta_E | 3.44033345886
[2021-07-26 11:23:39,517] A: 00010.jpg, B: 00010.jpg | MSE | 28.9618083333 | PSNR | 33.512546857782446 | SSMI | 0.940586444572 | Delta_E | 2.82703568617
[2021-07-26 11:23:39,804] A: 00011.jpg, B: 00011.jpg | MSE | 23.4144895833 | PSNR | 34.435956659100896 | SSMI | 0.941057441067 | Delta_E | 2.71213481477
[2021-07-26 11:23:40,024] A: 00012.jpg, B: 00012.jpg | MSE | 41.4048291667 | PSNR | 31.96029363753659 | SSMI | 0.941525803533 | Delta_E | 3.30446427586
[2021-07-26 11:23:40,230] A: 00013.jpg, B: 00013.jpg | MSE | 44.2694604167 | PSNR | 31.66976132304294 | SSMI | 0.934943714805 | Delta_E | 3.64923347137
[2021-07-26 11:23:40,484] A: 00014.jpg, B: 00014.jpg | MSE | 32.2442666667 | PSNR | 33.04627856668256 | SSMI | 0.942174850695 | Delta_E | 3.06987510167
[2021-07-26 11:23:40,784] A: 00015.jpg, B: 00015.jpg | MSE | 20.3290916667 | PSNR | 35.04962386704408 | SSMI | 0.946390994231 | Delta_E | 2.39781729801
[2021-07-26 11:23:41,073] A: 00016.jpg, B: 00016.jpg | MSE | 32.6565604167 | PSNR | 32.99109920538494 | SSMI | 0.941093273294 | Delta_E | 3.11046786169
[2021-07-26 11:23:41,366] A: 00017.jpg, B: 00017.jpg | MSE | 42.4189270833 | PSNR | 31.85520681309731 | SSMI | 0.892093727971 | Delta_E | 2.24034238065
[2021-07-26 11:23:41,658] A: 00018.jpg, B: 00018.jpg | MSE | 28.1982520833 | PSNR | 33.62858172197133 | SSMI | 0.938021194973 | Delta_E | 1.9765855359
[2021-07-26 11:23:41,933] A: 00019.jpg, B: 00019.jpg | MSE | 23.7577583333 | PSNR | 34.37274900543248 | SSMI | 0.945809194303 | Delta_E | 2.12501386241
