[2021-09-02 17:48:43,476] A: 020001_001, B: 020001_001_1 | MSE | 3.75216897329 | PSNR | 42.38797972921621 | SSMI | 0.978691979098 | Delta_E | 0.495386044469
[2021-09-02 17:48:44,753] A: 020001_002, B: 020001_002_1 | MSE | 0.97261651357 | PSNR | 48.25138721903993 | SSMI | 0.983976037655 | Delta_E | 0.416812323088
[2021-09-02 17:48:46,038] A: 020001_003, B: 020001_003_1 | MSE | 17.2239068349 | PSNR | 35.769486931693784 | SSMI | 0.945444666112 | Delta_E | 0.790661320563
[2021-09-02 17:48:47,318] A: 020001_004, B: 020001_004_1 | MSE | 10.5746129354 | PSNR | 37.888158810953726 | SSMI | 0.960124716407 | Delta_E | 0.617258795777
[2021-09-02 17:48:48,595] A: 020002_001, B: 020002_001_1 | MSE | 2.13155237834 | PSNR | 44.84384351896459 | SSMI | 0.967287382156 | Delta_E | 0.415178623172
[2021-09-02 17:48:49,866] A: 020002_002, B: 020002_002_1 | MSE | 2.0913216273 | PSNR | 44.92659532153651 | SSMI | 0.966733760785 | Delta_E | 0.413326485843
[2021-09-02 17:48:51,148] A: 020002_003, B: 020002_003_1 | MSE | 2.16085497538 | PSNR | 44.78454740446782 | SSMI | 0.97448487289 | Delta_E | 0.34417378646
[2021-09-02 17:48:52,433] A: 020002_004, B: 020002_004_1 | MSE | 2.15899244944 | PSNR | 44.78829237371647 | SSMI | 0.974574654185 | Delta_E | 0.339586126439
[2021-09-02 17:48:53,728] A: 020003_001, B: 020003_001_1 | MSE | 2.34276644389 | PSNR | 44.43351365991113 | SSMI | 0.982945557592 | Delta_E | 0.403432508125
[2021-09-02 17:48:55,005] A: 020003_002, B: 020003_002_1 | MSE | 2.07408301036 | PSNR | 44.96254226839018 | SSMI | 0.987060913428 | Delta_E | 0.300752518684
[2021-09-02 17:48:56,282] A: 020003_003, B: 020003_003_1 | MSE | 1.76281515757 | PSNR | 45.6687358473132 | SSMI | 0.980845866354 | Delta_E | 0.447250060841
[2021-09-02 17:48:57,565] A: 020003_004, B: 020003_004_1 | MSE | 2.27929242452 | PSNR | 44.55280313788326 | SSMI | 0.982402971988 | Delta_E | 0.419410058304
[2021-09-02 17:48:58,840] A: 020004_001, B: 020004_001_1 | MSE | 6.80574671427 | PSNR | 39.802045787058276 | SSMI | 0.969470091969 | Delta_E | 0.57220516573
[2021-09-02 17:49:00,125] A: 020004_002, B: 020004_002_1 | MSE | 5.51518058777 | PSNR | 40.715206234230976 | SSMI | 0.970604021405 | Delta_E | 0.399290316258
[2021-09-02 17:49:01,407] A: 020004_003, B: 020004_003_1 | MSE | 6.64785607656 | PSNR | 39.903987522929825 | SSMI | 0.97066696624 | Delta_E | 0.564695394921
[2021-09-02 17:49:02,691] A: 020004_004, B: 020004_004_1 | MSE | 4.07374159495 | PSNR | 42.03086883441459 | SSMI | 0.977764331195 | Delta_E | 0.333993509457
[2021-09-02 17:49:03,970] A: 020005_001, B: 020005_001_1 | MSE | 7.37523873647 | PSNR | 39.45304277878228 | SSMI | 0.972295937166 | Delta_E | 0.603638469982
[2021-09-02 17:49:05,252] A: 020005_002, B: 020005_002_1 | MSE | 3.67085075378 | PSNR | 42.483136331674075 | SSMI | 0.979743758184 | Delta_E | 0.500071810997
[2021-09-02 17:49:06,540] A: 020005_003, B: 020005_003_1 | MSE | 5.70409584045 | PSNR | 40.568935469289606 | SSMI | 0.975712834181 | Delta_E | 0.555861152618
[2021-09-02 17:49:07,826] A: 020005_004, B: 020005_004_1 | MSE | 7.67685127258 | PSNR | 39.27897233980248 | SSMI | 0.973676754968 | Delta_E | 0.626752957964
[2021-09-02 17:49:09,116] A: 020006_001, B: 020006_001_1 | MSE | 8.75056298574 | PSNR | 38.71044365704566 | SSMI | 0.955502184079 | Delta_E | 0.520546970432
[2021-09-02 17:49:10,399] A: 020006_002, B: 020006_002_1 | MSE | 2.04266198476 | PSNR | 45.028838543911675 | SSMI | 0.98215156083 | Delta_E | 0.451533311675
[2021-09-02 17:49:11,685] A: 020006_003, B: 020006_003_1 | MSE | 8.70626894633 | PSNR | 38.73248281999799 | SSMI | 0.956795670534 | Delta_E | 0.516126464289
[2021-09-02 17:49:12,967] A: 020006_004, B: 020006_004_1 | MSE | 2.10844039917 | PSNR | 44.89119031863939 | SSMI | 0.981249922334 | Delta_E | 0.45336567391
[2021-09-02 17:49:14,256] A: 020007_001, B: 020007_001_1 | MSE | 2.54987239838 | PSNR | 44.06561913009465 | SSMI | 0.979422160713 | Delta_E | 0.270077416694
[2021-09-02 17:49:15,537] A: 020007_002, B: 020007_002_1 | MSE | 3.07893975576 | PSNR | 43.24679169528202 | SSMI | 0.976128466449 | Delta_E | 0.335868178568
[2021-09-02 17:49:16,817] A: 020007_003, B: 020007_003_1 | MSE | 2.38955688477 | PSNR | 44.34762987259995 | SSMI | 0.972938921338 | Delta_E | 0.376580868627
[2021-09-02 17:49:18,099] A: 020007_004, B: 020007_004_1 | MSE | 2.64328225454 | PSNR | 43.90936820497111 | SSMI | 0.974802504585 | Delta_E | 0.361544052654
[2021-09-02 17:49:19,383] A: 020008_001, B: 020008_001_1 | MSE | 7.43233044942 | PSNR | 39.419553502523186 | SSMI | 0.980803708098 | Delta_E | 0.620912155525
[2021-09-02 17:49:20,684] A: 020008_002, B: 020008_002_1 | MSE | 9.56960805257 | PSNR | 38.32186210352425 | SSMI | 0.977064083351 | Delta_E | 0.669268439818
[2021-09-02 17:49:21,988] A: 020008_003, B: 020008_003_1 | MSE | 8.36123466492 | PSNR | 38.90809948432625 | SSMI | 0.9778463319 | Delta_E | 0.665361008393
[2021-09-02 17:49:23,293] A: 020008_004, B: 020008_004_1 | MSE | 7.83710892995 | PSNR | 39.189244776895904 | SSMI | 0.97677312257 | Delta_E | 0.599393888007
[2021-09-02 17:49:24,595] A: 020009_001, B: 020009_001_1 | MSE | 2.49019463857 | PSNR | 44.168470671242375 | SSMI | 0.98983501853 | Delta_E | 0.403090776264
[2021-09-02 17:49:25,871] A: 020009_002, B: 020009_002_1 | MSE | 0.914745012919 | PSNR | 48.51780310424615 | SSMI | 0.991674166758 | Delta_E | 0.341829864105
[2021-09-02 17:49:27,149] A: 020009_003, B: 020009_003_1 | MSE | 3.75452868144 | PSNR | 42.385249345472424 | SSMI | 0.988327046924 | Delta_E | 0.344266297087
