[2021-09-02 22:17:37,485] A: 025914, B: 025914_870001 | MSE | 21.6742362976 | PSNR | 34.77136557030073 | SSIM | 0.965115497335 | Delta_E | 1.11802993947
[2021-09-02 22:17:37,485] A: 025915, B: 025915_870001 | MSE | 18.8470864296 | PSNR | 35.37836138705361 | SSIM | 0.942322303292 | Delta_E | 0.941720715037
[2021-09-02 22:17:37,485] A: 025916, B: 025916_870001 | MSE | 26.0569424629 | PSNR | 33.97156906873736 | SSIM | 0.902751218848 | Delta_E | 0.930514443394
[2021-09-02 22:17:37,485] A: 025917, B: 025917_870001 | MSE | 14.576296409 | PSNR | 36.4943316977139 | SSIM | 0.939596811643 | Delta_E | 0.809844170645
[2021-09-02 22:17:37,485] A: 025918, B: 025918_870001 | MSE | 36.4342679183 | PSNR | 32.51570313293645 | SSIM | 0.87105169659 | Delta_E | 1.07888797784
[2021-09-02 22:17:37,485] A: 025919, B: 025919_870001 | MSE | 19.7972400188 | PSNR | 35.16475712431381 | SSIM | 0.953325531041 | Delta_E | 0.84395099718
[2021-09-02 22:17:37,485] A: 025920, B: 025920_870001 | MSE | 30.4240430991 | PSNR | 33.29863433236875 | SSIM | 0.940340269344 | Delta_E | 1.38683184277
[2021-09-02 22:17:37,485] A: 025921, B: 025921_870001 | MSE | 46.5534276962 | PSNR | 31.45128697575194 | SSIM | 0.881769603533 | Delta_E | 1.3932678317
[2021-09-02 22:17:37,485] A: 025922, B: 025922_870001 | MSE | 5.99732645353 | PSNR | 40.35122671358706 | SSIM | 0.981240075358 | Delta_E | 0.565555056293
[2021-09-02 22:17:37,485] A: 025923, B: 025923_870001 | MSE | 50.2168487708 | PSNR | 31.12230904669461 | SSIM | 0.867398943763 | Delta_E | 1.46034249824
[2021-09-02 22:17:37,485] A: 025924, B: 025924_870001 | MSE | 20.9379983743 | PSNR | 34.92145199119402 | SSIM | 0.933803215947 | Delta_E | 1.0060080731
[2021-09-02 22:17:37,485] A: 025925, B: 025925_870001 | MSE | 30.1088212331 | PSNR | 33.343866077455594 | SSIM | 0.931385476321 | Delta_E | 1.11925178715
[2021-09-02 22:17:37,486] A: 025926, B: 025926_870001 | MSE | 50.5522408485 | PSNR | 31.093399493763705 | SSIM | 0.846673826598 | Delta_E | 1.38548211902
[2021-09-02 22:17:37,486] A: 025927, B: 025927_870001 | MSE | 14.6740105947 | PSNR | 36.465315325669394 | SSIM | 0.951112621584 | Delta_E | 0.678205417532
