[2021-09-02 01:43:48,331] A: 020001, B: 020001_870001 | MSE | 30.8609191577 | PSNR | 33.236715039769194 | SSMI | 0.900826832094 | Delta_E | 0.987573549275
[2021-09-02 01:43:53,647] A: 020002, B: 020002_870001 | MSE | 3.81514771779 | PSNR | 42.31569002907093 | SSMI | 0.957843316154 | Delta_E | 0.488035052385
[2021-09-02 01:43:58,943] A: 020003, B: 020003_870001 | MSE | 4.76877339681 | PSNR | 41.34673674805022 | SSMI | 0.97143691294 | Delta_E | 0.538949444907
[2021-09-02 01:44:04,247] A: 020004, B: 020004_870001 | MSE | 20.5371056398 | PSNR | 35.005411238095135 | SSMI | 0.91462746497 | Delta_E | 0.8123690929
[2021-09-02 01:44:09,532] A: 020005, B: 020005_870001 | MSE | 20.159061114 | PSNR | 35.08610059409254 | SSMI | 0.933464261179 | Delta_E | 0.906909296893
[2021-09-02 01:44:14,823] A: 020006, B: 020006_870001 | MSE | 21.9847884973 | PSNR | 34.70958068983694 | SSMI | 0.897952306003 | Delta_E | 0.862563146724
[2021-09-02 01:44:20,129] A: 020007, B: 020007_870001 | MSE | 9.60624551773 | PSNR | 38.305266786656276 | SSMI | 0.929933421478 | Delta_E | 0.613809599582
[2021-09-02 01:44:25,451] A: 020008, B: 020008_870001 | MSE | 22.1517090797 | PSNR | 34.6767312171888 | SSMI | 0.930921561401 | Delta_E | 1.0428445144
[2021-09-02 01:44:30,737] A: 020009, B: 020009_870001 | MSE | 6.5362991492 | PSNR | 39.977484403741904 | SSMI | 0.980069133706 | Delta_E | 0.571553917172
[2021-09-02 01:44:36,022] A: 020010, B: 020010_870001 | MSE | 3.00861517588 | PSNR | 43.347137190495516 | SSMI | 0.988065772311 | Delta_E | 0.439497717127
[2021-09-02 01:44:41,327] A: 020011, B: 020011_870001 | MSE | 12.0567990939 | PSNR | 37.318483366772284 | SSMI | 0.942841520895 | Delta_E | 0.734487705946
